,total_bill,tip,sex,smoker,day,time,size,New_index
109,14.31,4.0,Female,Yes,Sat,Dinner,2,1110
110,14.0,3.0,Male,No,Sat,Dinner,2,1111
111,7.25,1.0,Female,No,Sat,Dinner,1,1112
112,38.07,4.0,Male,No,Sun,Dinner,3,1113
113,23.95,2.55,Male,No,Sun,Dinner,2,1114
114,25.71,4.0,Female,No,Sun,Dinner,3,1115
115,17.31,3.5,Female,No,Sun,Dinner,2,1116
116,29.93,5.07,Male,No,Sun,Dinner,4,1117
117,10.65,1.5,Female,No,Thur,Lunch,2,1118
118,12.43,1.8,Female,No,Thur,Lunch,2,1119
119,24.08,2.92,Female,No,Thur,Lunch,4,1120
120,11.69,2.31,Male,No,Thur,Lunch,2,1121
121,13.42,1.68,Female,No,Thur,Lunch,2,1122
122,14.26,2.5,Male,No,Thur,Lunch,2,1123
123,15.95,2.0,Male,No,Thur,Lunch,2,1124
124,12.48,2.52,Female,No,Thur,Lunch,2,1125
125,29.8,4.2,Female,No,Thur,Lunch,6,1126
126,8.52,1.48,Male,No,Thur,Lunch,2,1127
127,14.52,2.0,Female,No,Thur,Lunch,2,1128
128,11.38,2.0,Female,No,Thur,Lunch,2,1129
129,22.82,2.18,Male,No,Thur,Lunch,3,1130
130,19.08,1.5,Male,No,Thur,Lunch,2,1131
131,20.27,2.83,Female,No,Thur,Lunch,2,1132
132,11.17,1.5,Female,No,Thur,Lunch,2,1133
133,12.26,2.0,Female,No,Thur,Lunch,2,1134
134,18.26,3.25,Female,No,Thur,Lunch,2,1135
135,8.51,1.25,Female,No,Thur,Lunch,2,1136
136,10.33,2.0,Female,No,Thur,Lunch,2,1137
137,14.15,2.0,Female,No,Thur,Lunch,2,1138
138,16.0,2.0,Male,Yes,Thur,Lunch,2,1139
139,13.16,2.75,Female,No,Thur,Lunch,2,1140
140,17.47,3.5,Female,No,Thur,Lunch,2,1141
141,34.3,6.7,Male,No,Thur,Lunch,6,1142
142,41.19,5.0,Male,No,Thur,Lunch,5,1143
143,27.05,5.0,Female,No,Thur,Lunch,6,1144
144,16.43,2.3,Female,No,Thur,Lunch,2,1145
145,8.35,1.5,Female,No,Thur,Lunch,2,1146
146,18.64,1.36,Female,No,Thur,Lunch,3,1147
147,11.87,1.63,Female,No,Thur,Lunch,2,1148
148,9.78,1.73,Male,No,Thur,Lunch,2,1149
149,7.51,2.0,Male,No,Thur,Lunch,2,1150
150,14.07,2.5,Male,No,Sun,Dinner,2,1151
151,13.13,2.0,Male,No,Sun,Dinner,2,1152
152,17.26,2.74,Male,No,Sun,Dinner,3,1153
153,24.55,2.0,Male,No,Sun,Dinner,4,1154
154,19.77,2.0,Male,No,Sun,Dinner,4,1155
155,29.85,5.14,Female,No,Sun,Dinner,5,1156
156,48.17,5.0,Male,No,Sun,Dinner,6,1157
157,25.0,3.75,Female,No,Sun,Dinner,4,1158
158,13.39,2.61,Female,No,Sun,Dinner,2,1159
159,16.49,2.0,Male,No,Sun,Dinner,4,1160
160,21.5,3.5,Male,No,Sun,Dinner,4,1161
161,12.66,2.5,Male,No,Sun,Dinner,2,1162
162,16.21,2.0,Female,No,Sun,Dinner,3,1163
163,13.81,2.0,Male,No,Sun,Dinner,2,1164
164,17.51,3.0,Female,Yes,Sun,Dinner,2,1165
165,24.52,3.48,Male,No,Sun,Dinner,3,1166
166,20.76,2.24,Male,No,Sun,Dinner,2,1167
167,31.71,4.5,Male,No,Sun,Dinner,4,1168
168,10.59,1.61,Female,Yes,Sat,Dinner,2,1169
169,10.63,2.0,Female,Yes,Sat,Dinner,2,1170
170,50.81,10.0,Male,Yes,Sat,Dinner,3,1171
171,15.81,3.16,Male,Yes,Sat,Dinner,2,1172
172,7.25,5.15,Male,Yes,Sun,Dinner,2,1173
173,31.85,3.18,Male,Yes,Sun,Dinner,2,1174
174,16.82,4.0,Male,Yes,Sun,Dinner,2,1175
175,32.9,3.11,Male,Yes,Sun,Dinner,2,1176
176,17.89,2.0,Male,Yes,Sun,Dinner,2,1177
177,14.48,2.0,Male,Yes,Sun,Dinner,2,1178
178,9.6,4.0,Female,Yes,Sun,Dinner,2,1179
179,34.63,3.55,Male,Yes,Sun,Dinner,2,1180
180,34.65,3.68,Male,Yes,Sun,Dinner,4,1181
181,23.33,5.65,Male,Yes,Sun,Dinner,2,1182
182,45.35,3.5,Male,Yes,Sun,Dinner,3,1183
183,23.17,6.5,Male,Yes,Sun,Dinner,4,1184
184,40.55,3.0,Male,Yes,Sun,Dinner,2,1185
185,20.69,5.0,Male,No,Sun,Dinner,5,1186
186,20.9,3.5,Female,Yes,Sun,Dinner,3,1187
187,30.46,2.0,Male,Yes,Sun,Dinner,5,1188
188,18.15,3.5,Female,Yes,Sun,Dinner,3,1189
189,23.1,4.0,Male,Yes,Sun,Dinner,3,1190
190,15.69,1.5,Male,Yes,Sun,Dinner,2,1191
191,19.81,4.19,Female,Yes,Thur,Lunch,2,1192
192,28.44,2.56,Male,Yes,Thur,Lunch,2,1193
193,15.48,2.02,Male,Yes,Thur,Lunch,2,1194
194,16.58,4.0,Male,Yes,Thur,Lunch,2,1195
195,7.56,1.44,Male,No,Thur,Lunch,2,1196
196,10.34,2.0,Male,Yes,Thur,Lunch,2,1197
197,43.11,5.0,Female,Yes,Thur,Lunch,4,1198
198,13.0,2.0,Female,Yes,Thur,Lunch,2,1199
199,13.51,2.0,Male,Yes,Thur,Lunch,2,1200
200,18.71,4.0,Male,Yes,Thur,Lunch,3,1201
201,12.74,2.01,Female,Yes,Thur,Lunch,2,1202
202,13.0,2.0,Female,Yes,Thur,Lunch,2,1203
203,16.4,2.5,Female,Yes,Thur,Lunch,2,1204
204,20.53,4.0,Male,Yes,Thur,Lunch,4,1205
205,16.47,3.23,Female,Yes,Thur,Lunch,3,1206
206,26.59,3.41,Male,Yes,Sat,Dinner,3,1207
207,38.73,3.0,Male,Yes,Sat,Dinner,4,1208
208,24.27,2.03,Male,Yes,Sat,Dinner,2,1209
209,12.76,2.23,Female,Yes,Sat,Dinner,2,1210
210,30.06,2.0,Male,Yes,Sat,Dinner,3,1211
211,25.89,5.16,Male,Yes,Sat,Dinner,4,1212
212,48.33,9.0,Male,No,Sat,Dinner,4,1213
213,13.27,2.5,Female,Yes,Sat,Dinner,2,1214
214,28.17,6.5,Female,Yes,Sat,Dinner,3,1215
215,12.9,1.1,Female,Yes,Sat,Dinner,2,1216
216,28.15,3.0,Male,Yes,Sat,Dinner,5,1217
217,11.59,1.5,Male,Yes,Sat,Dinner,2,1218
218,7.74,1.44,Male,Yes,Sat,Dinner,2,1219
219,30.14,3.09,Female,Yes,Sat,Dinner,4,1220
220,12.16,2.2,Male,Yes,Fri,Lunch,2,1221
221,13.42,3.48,Female,Yes,Fri,Lunch,2,1222
222,8.58,1.92,Male,Yes,Fri,Lunch,1,1223
223,15.98,3.0,Female,No,Fri,Lunch,3,1224
224,13.42,1.58,Male,Yes,Fri,Lunch,2,1225
225,16.27,2.5,Female,Yes,Fri,Lunch,2,1226
226,10.09,2.0,Female,Yes,Fri,Lunch,2,1227
227,20.45,3.0,Male,No,Sat,Dinner,4,1228
228,13.28,2.72,Male,No,Sat,Dinner,2,1229
229,22.12,2.88,Female,Yes,Sat,Dinner,2,1230
230,24.01,2.0,Male,Yes,Sat,Dinner,4,1231
231,15.69,3.0,Male,Yes,Sat,Dinner,3,1232
232,11.61,3.39,Male,No,Sat,Dinner,2,1233
233,10.77,1.47,Male,No,Sat,Dinner,2,1234
234,15.53,3.0,Male,Yes,Sat,Dinner,2,1235
235,10.07,1.25,Male,No,Sat,Dinner,2,1236
236,12.6,1.0,Male,Yes,Sat,Dinner,2,1237
237,32.83,1.17,Male,Yes,Sat,Dinner,2,1238
238,35.83,4.67,Female,No,Sat,Dinner,3,1239
239,29.03,5.92,Male,No,Sat,Dinner,3,1240
240,27.18,2.0,Female,Yes,Sat,Dinner,2,1241
241,22.67,2.0,Male,Yes,Sat,Dinner,2,1242
242,17.82,1.75,Male,No,Sat,Dinner,2,1243
243,18.78,3.0,Female,No,Thur,Dinner,2,1244
